name,age,location,occupation,political_leaning,support_level,impact_on_housing,impact_on_transport,impact_on_community,key_concerns,suggested_improvements,sentiment_score,key_themes
Carolyn,69,Bronte,Engineer,Greens,4,0,3,4,"Increased street parking competition, potential for traffic congestion, need for improved public transport infrastructure","Enhance public transportation options, introduce bike-sharing schemes, mandate a certain percentage of affordable housing units in new developments, ensure adequate infrastructure for pedestrians and cyclists",0.10975378787878787,"['housing affordability', 'pressures on renters', 'sustainable housing solutions', 'public transportation enhancement', 'parking and traffic congestion concerns']"
Christopher,77,Bondi Junction,Engineer,Liberal,2,0,2,2,"Increased traffic congestion, Reduced accessibility for elderly residents, Decreased property values due to perceived inconvenience, Potential for spillover parking into residential areas","Implement a flexible parking requirement policy based on the development's size and location, Enhance public transport services and infrastructure to reduce reliance on personal vehicles, Introduce a residents' parking permit scheme to mitigate spillover effects, Encourage developers to include affordable housing units",0.134366391184573,"['opposition to removing parking requirements', 'traffic and parking challenges in Bondi', 'impact on local infrastructure and community', 'reliance on personal vehicles', 'housing shortage concerns']"
John,77,Dover Heights,Public servant,Liberal,2,0,2,2,"Reduced parking availability, increased street parking congestion, impact on older residents' mobility, reliance on inadequate public transport","Mandate a minimum number of parking spaces based on development size, improve public transport services in the area, introduce parking permits for local residents",0.18083333333333335,"['housing policy concerns', 'parking requirements removal', 'reliance on cars for mobility', 'public transport accessibility', 'development size considerations']"
Richard,35,Queens Park,Student,Liberal,4,0,3,4,"Street safety, Increased traffic congestion, Noise pollution, Adequate public transport alternatives","Increase investment in public transport, Enhance pedestrian and cycling infrastructure, Implement strict noise control measures, Provide community green spaces",0.08376623376623375,"['climate resilience', 'reduction of unused car spaces', 'public transport solutions', 'street safety and noise control', 'environmental values']"
Kelly,32,Queens Park,HR manager,Labor,4,0,3,4,"Increased traffic congestion, Adequate public transport, Cycling infrastructure","Enhance public transport services, Expand cycleways, Implement residential parking permits",0.06704545454545455,"['climate resilience', 'sustainable urban planning', 'reducing reliance on private vehicles', 'improving public transport infrastructure', 'promoting cycling and walking']"
Donald,29,Bronte,Nurse,Socialist Alliance,4,0,3,4,"Increased traffic congestion, potential for developer exploitation, risk of inadequate public transport infrastructure","Implement safeguards against developer exploitation, increase investment in public transport and cycling infrastructure, mandate a percentage of affordable housing in new developments, create more green spaces",0.20923987776928954,"['affordable housing', 'public transport reliance', 'reducing parking requirements', 'community needs vs. developer profits', 'improving local infrastructure']"
Carol,69,Waverley,HR manager,Teal Independent,4,0,3,3,"Traffic congestion, Parking availability, Heritage protection, Infrastructure strain","Increase public transport options, Expand bike lanes, Implement residential parking schemes, Invest in community facilities",0.08579545454545454,"['affordable housing for youth', 'reducing parking requirements', 'heritage area preservation', 'traffic and parking management', 'public transport and cycling infrastructure improvements']"
Donald,45,Waverley,Teacher,Teal Independent,3,0,2,3,"increased traffic congestion, parking scarcity for existing residents, impact on local heritage sites, potentially insufficient public transport options","invest in public transport and cycling infrastructure, implement residential parking permits, ensure developments include green spaces and respect local heritage, provide incentives for car share schemes",0.0029696969696969694,"['housing affordability', 'transportation reliance', 'environmental sustainability', 'community needs', 'heritage protection']"
Benjamin,68,Bondi Beach,Delivery driver,Liberal,3,0,2,3,"Increased parking demand, Traffic congestion, Potential decrease in public transport use","Enhance public transport services, Expand and improve cycleway infrastructure, Implement residential parking permits",0.19671717171717173,"['housing needs', 'traffic and parking concerns', 'public transport and cycling infrastructure', 'policy impact on residents and visitors', 'need for a solid management plan']"
John,71,Dover Heights,Public servant,Liberal,2,0,2,2,"Increased traffic congestion, street safety, impact on heritage areas, insufficient public transport infrastructure","Enhance public transport services and infrastructure, implement street safety measures, provide incentives for developments that include parking, ensure any development respects local heritage guidelines",-0.045454545454545456,"['traffic and street safety concerns', 'impact on local heritage', 'need for enhanced public transport options', 'housing development policies', 'parking requirement removal effects']"
