name,age,location,occupation,political_leaning,support_level,impact_on_housing,impact_on_transport,impact_on_community,key_concerns,suggested_improvements,sentiment_score,key_themes
Lauren,69,Queens Park,Student,Greens,4,0,3,4,"Increased traffic congestion, Public transport capacity, Parking availability for existing residents","Enhance public transport services and frequency, Implement car share schemes, Introduce incentives for developers to include green spaces and communal areas",0.1590909090909091,"['housing affordability', 'environmental values', 'public transport solutions', 'reducing car dependency', 'efficient space utilization']"
Joseph,77,Bondi Junction,Tradie,Labor,2,0,2,2,"Increased traffic, Insufficient parking for existing residents, Potential for developer exploitation, Impact on local small businesses","Mandatory developer contributions to public transport improvements, Strict guidelines on the number of car-free developments allowed, Creation of additional off-street parking for existing residents, Enhanced pedestrian and cycling infrastructure",0.11325757575757575,"['urban development concerns', 'impact on traffic and parking', 'community benefits', 'public transport and pedestrian infrastructure improvements', 'developer interests vs. community needs']"
James,56,Bondi Beach,Delivery driver,Liberal,3,0,2,3,"Increased traffic congestion, Insufficient public transport options, Lack of parking for existing residents","Improve public transport frequency and routes, Increase pedestrian and cycling infrastructure, Implement residential parking permits",0.1946969696969697,"['housing development', 'reducing car dependency', 'traffic and parking concerns', 'public transport enhancement', 'pedestrian infrastructure improvement']"
Jodi,71,Bondi Beach,HR manager,Liberal,2,0,2,2,"Reduced parking availability, increased street parking competition, potential strain on public transportation","Enhance public transport services, introduce resident parking permits, ensure some parking spaces in new developments",0.22363636363636363,"['housing development policies', 'public transport reliance', 'street parking availability', 'impact on residents', 'public transport improvement needs']"
Blake,77,Randwick,Artist,Labor,3,0,2,3,"Increased local traffic, Reduced parking availability for existing residents, Potential strain on public transport","Enhance public transport options, Expand cycleway networks, Implement residential parking schemes",0.17750000000000002,"['affordable housing', 'impact on local traffic', 'parking availability', 'improvements in public transport', 'cycleway infrastructure']"
Nicholas,58,Randwick,Accountant,Socialist Alliance,4,0,3,3,"Increased traffic congestion, Insufficient public transport capacity, Reduced mobility for residents without access to alternative transport modes","Expand public transport services, Enhance cycleway networks, Implement car share schemes within developments",0.13446969696969696,"['urban density and sustainable living', 'reduction in private vehicle reliance', 'promotion of public transport and cycling', 'need for adequate mobility alternatives', 'equitable and environmentally friendly urban environment']"
Edward,31,Randwick,Consultant,Labor,4,0,3,3,"Increased street parking congestion, potential overreliance on public transport without infrastructure improvements, noise control","Investment in public transport infrastructure, designated ride-sharing drop-off points, incentives for developers to include green spaces or community facilities",0.1746969696969697,"['sustainable housing solutions', 'public transport utilization', 'affordable housing', 'parking congestion concerns', 'transport infrastructure enhancement']"
Rhonda,76,Tamarama,Consultant,Centre,4,0,3,3,"Traffic congestion, Street safety, Public transport availability","Increase public transport services, Improve cycleway infrastructure, Implement pedestrian safety measures",0.14329545454545456,"['local government policy', 'traffic and street safety', 'public transport and cycling', 'community concerns', 'infrastructure enhancement']"
Albert,20,Tamarama,Teacher,Labor,4,0,3,4,"Increased parking pressure on existing streets, potential for inadequate public transport options, need for improved pedestrian infrastructure","Investment in public transport enhancements, development of more pedestrian zones, implementation of resident parking schemes",0.2314814814814815,"['reducing car reliance', 'improving public transport', 'enhancing walkability', 'climate resilience', 'parking concerns']"
Kathryn,20,North Bondi,Engineer,Liberal,4,0,3,3,"Developer accountability, Potential for overcrowded public transport, Insufficient infrastructure to support increased density","Mandatory developer contributions to local infrastructure, Enhanced public transport services, Incentives for developments with affordable housing units",0.12348484848484849,"['housing affordability', 'public transit reliance', 'developer profits vs. resident benefits', 'parking requirements impact', 'local infrastructure concerns']"
Rachael,49,Bondi Beach,Designer,Socialist Alliance,2,0,2,2,"Increased traffic congestion, Inadequate public transport, Loss of community character, Risk of heritage site neglect","Implement enhanced public transport solutions, Introduce strict guidelines for development to preserve community character, Mandate a percentage of new housing to be allocated for affordable youth housing, Ensure any development respects local heritage protections",0.1285714285714286,"['innovative urban living', 'concerns about traffic congestion', 'lack of public transportation', 'need for comprehensive transport planning', 'preserving community character']"
James,84,Bronte,Software developer,Liberal,2,0,2,2,"Increased street parking congestion, Reduced street safety, Degradation of public spaces, Insufficient public transport options","Enhance public transport coverage and frequency, Expand and improve cycleway infrastructure, Implement residential parking schemes, Ensure developments include amenities that reduce the need for car ownership",0.022727272727272724,"['impact on street parking and congestion', 'need for more housing', 'street safety and public space quality', 'improving public transport and cycleways', ""Waverley Council's housing proposal""]"
Roger,77,Dover Heights,Public servant,Greens,4,0,2,3,"Increased demand on public transport, parking overflow into residential areas, need for improved walking and cycling infrastructure","Enhance public transport services and frequency, invest in pedestrian and cycling infrastructure, implement residential parking zones to manage overflow",0.11483585858585858,"['urban development in Dover Heights and Waverley', 'removal of minimum parking requirements', 'encouragement of public transport use', 'need for improved local infrastructure', 'potential for unintended consequences']"
George,55,Bronte,Teacher,Centre,3,0,2,3,"Increased demand on public transport, street parking congestion, potential for increased traffic","Enhance public transport services, implement residential parking zones, ensure developments include bicycle parking and facilities",0.19292929292929292,"['affordable housing', 'public transport strain', 'parking policy', 'educator concerns', 'urban planning']"
Christine,65,Bronte,Public servant,Socialist Alliance,3,0,2,3,"Increased street parking pressure, Reduced street safety, Insufficient public transport capacity, Potential for higher urban density without adequate community infrastructure","Investment in public transport and infrastructure, Implement car share schemes, Mandatory bike parking and green spaces in new developments, Developments should contribute to community fund for local improvements",0.18363636363636365,"['housing affordability', 'reduction in car reliance', 'street safety concerns', 'urban density issues', 'enhancement of public transport infrastructure']"
Kelly,21,Bondi Junction,Public servant,Socialist Alliance,4,0,3,4,"Increased demand on public transport, potential for parking spill-over into residential streets, ensuring new developments are truly affordable","Enhance public transport services and infrastructure, implement residential parking zones to manage spill-over, affordability covenants on new developments",0.22058982683982684,"['affordable housing', 'public transport enhancement', 'reduced construction costs', 'traffic and rent pressure', 'removal of minimum parking requirements']"
Melissa,49,Bondi Junction,Accountant,Liberal,3,0,2,3,"Increased local congestion, parking availability for existing residents, pressure on public transport and cycleways infrastructure","Mandatory contributions by developers to public transport and cycleway improvements, implementing a cap on the number of developments without parking spaces, ensuring adequate investment in local infrastructure to support increased density",0.07363636363636364,"['housing affordability', 'sustainable urban mobility', 'local congestion and parking availability', 'public transport and cycleways improvement', 'Bondi community heritage']"
